"","Baso","Ccr7_DC","Eos","Erythroid","Lymphoid","Mast","Meg","Monocyte","Neutrophil","pDC","Undifferentiated"
"126",0,0,0,0,0,0,0,0,17,0,6
"127",0,0,0,0,0,0,0,2,0,0,1
"128",0,0,0,0,0,0,0,1,0,0,1
"129",0,0,0,0,1,0,0,0,0,0,2
"130",0,0,0,0,0,0,0,11,0,0,5
"131",0,0,0,0,0,0,0,0,2,0,3
"132",0,0,0,0,0,0,0,0,0,0,4
"133",0,0,0,0,0,0,0,6,0,0,4
"134",1,0,0,0,0,0,0,0,0,0,1
"135",0,0,0,0,0,0,0,6,0,0,4
"136",0,0,0,0,0,0,0,0,5,0,0
"137",0,0,0,0,0,0,0,0,1,0,5
"138",0,0,0,0,0,0,0,0,0,0,3
"139",0,0,0,0,0,0,2,0,0,0,3
"140",0,0,0,0,0,0,0,0,0,0,2
"141",0,0,0,0,0,0,0,0,2,0,3
"142",0,0,0,0,0,0,0,22,0,0,7
"143",0,0,0,0,0,0,0,0,0,0,6
"144",0,0,0,0,0,0,0,0,0,0,12
"145",0,0,0,0,0,0,0,0,0,0,2
"146",0,0,0,0,0,1,0,0,0,0,1
"147",0,0,0,0,0,0,0,15,0,0,3
"148",0,0,0,0,0,0,0,0,11,0,0
"149",0,0,0,0,0,0,0,0,4,0,0
"150",0,0,0,0,0,0,0,0,0,0,6
"151",0,0,0,0,0,0,0,0,0,0,5
"152",0,0,0,0,0,0,0,8,8,0,5
"153",0,0,0,0,0,0,0,2,3,0,2
"154",0,0,0,0,0,5,1,0,0,0,0
"155",0,0,0,0,0,0,0,0,4,0,4
"156",0,1,0,0,0,0,0,1,3,0,7
"157",0,0,0,0,0,0,0,0,0,0,2
"158",0,0,0,0,0,0,0,0,0,0,9
"159",0,0,0,0,0,0,0,0,0,0,2
"160",0,0,0,0,0,0,0,0,1,0,10
"161",0,0,0,0,0,0,1,0,0,0,1
"162",0,0,0,0,0,0,0,0,0,0,2
"163",0,0,0,0,0,2,0,0,0,0,0
"164",0,0,0,0,0,0,0,12,15,0,17
"165",0,0,0,0,0,0,0,0,2,0,0
"166",0,0,0,0,0,0,0,2,0,0,0
"167",0,0,0,0,0,0,0,1,0,0,5
"168",0,0,0,0,0,0,0,0,0,0,2
"169",0,0,0,0,0,0,0,16,0,0,4
"170",0,0,0,0,0,0,0,0,0,0,2
"171",0,0,0,0,0,0,0,0,0,0,12
"172",2,0,0,0,0,0,0,0,0,0,0
"173",0,0,0,0,0,0,0,0,0,0,5
"174",0,0,0,0,0,0,0,0,0,0,2
"175",1,0,0,0,0,0,0,0,0,0,5
"176",0,0,0,0,0,0,2,0,0,0,0
"177",0,0,0,0,0,0,0,0,0,0,6
"178",0,0,0,0,0,0,0,0,2,0,5
"179",0,0,0,0,0,0,0,1,0,0,1
"180",0,0,0,0,0,0,0,4,0,0,1
"181",0,0,0,0,0,0,0,4,0,0,3
"182",0,0,0,0,0,0,0,0,0,0,8
"183",0,0,0,0,0,0,0,0,0,0,6
"184",0,0,0,0,0,0,0,0,1,0,1
"185",0,0,0,0,0,0,0,0,0,0,3
"186",0,0,0,0,0,0,0,0,1,0,2
"187",0,0,0,0,0,0,0,3,0,0,0
"188",0,0,0,0,0,0,0,0,0,0,4
"189",0,0,0,0,0,0,0,1,0,0,11
"190",0,0,0,0,0,0,0,0,11,0,6
"191",0,0,0,0,0,0,0,0,6,0,2
"192",0,0,0,0,0,0,0,0,10,0,19
"193",0,0,0,0,0,0,0,0,0,0,4
"194",0,0,0,0,0,0,0,0,2,0,0
"195",0,0,0,0,0,0,0,2,0,0,0
"196",0,0,0,0,0,0,0,0,0,0,8
"197",0,0,0,0,0,0,0,1,0,0,1
"198",0,0,0,0,1,0,0,0,0,0,2
"199",0,0,0,0,0,0,0,4,0,0,3
"200",0,0,0,0,0,0,0,0,0,0,2
"201",0,0,0,0,0,0,0,0,0,0,14
"202",0,0,0,0,0,0,0,0,6,0,6
"203",0,0,0,0,0,0,0,0,0,0,5
"204",0,0,0,0,0,0,0,0,0,0,2
"205",1,0,0,0,0,0,0,0,0,0,2
"206",0,0,0,0,0,0,0,14,0,0,2
"207",0,0,0,0,0,0,0,0,0,0,2
"208",0,0,0,0,0,0,0,0,1,0,1
"209",0,0,0,0,0,0,0,0,0,0,3
"210",0,0,0,0,0,0,0,3,0,0,0
"211",0,0,0,0,0,0,0,34,0,0,3
"212",0,0,0,0,0,0,0,0,0,0,5
"213",0,0,0,0,0,0,0,0,12,0,5
"214",0,0,0,0,0,0,9,0,0,0,1
"215",0,0,0,0,0,0,0,3,0,0,20
"216",0,0,0,0,0,0,0,2,0,0,2
"217",0,0,1,0,0,0,0,0,0,0,4
"218",4,0,0,0,0,0,0,0,0,0,0
"219",0,0,0,0,0,0,0,0,0,0,3
"220",0,0,0,0,0,0,0,0,0,0,8
"221",0,0,0,0,0,0,0,0,0,0,6
"222",0,0,0,0,0,0,0,5,1,0,1
"223",0,0,0,0,0,0,0,2,0,0,0
"224",0,0,0,0,0,0,0,0,0,0,3
"225",0,0,0,0,0,0,0,0,2,0,2
"226",0,0,0,0,0,0,0,0,1,0,1
"227",0,0,0,0,0,0,0,0,0,0,2
"228",0,0,0,0,0,0,0,0,0,0,13
"229",0,0,0,2,0,0,0,0,0,0,4
"230",2,0,0,0,0,0,0,0,0,0,0
"231",0,0,0,0,0,0,0,0,3,0,0
"232",0,0,0,0,1,0,0,0,0,0,1
"233",0,0,0,0,0,0,0,2,0,0,2
"234",0,0,0,0,0,0,3,0,0,0,2
"235",0,0,0,0,0,0,0,2,0,0,0
"236",0,0,0,0,0,0,0,2,0,0,6
"237",0,0,0,0,0,0,0,0,0,0,6
"238",0,0,0,0,0,0,0,4,0,0,3
"239",0,0,0,2,0,0,0,0,0,0,10
"240",0,0,0,0,0,0,0,2,0,0,2
"241",0,0,1,0,0,0,0,0,1,0,1
"242",0,0,0,0,0,0,0,0,0,0,4
"243",0,0,0,0,0,0,0,5,0,0,2
"244",0,0,0,0,0,0,0,0,0,0,2
"245",0,0,0,0,0,2,0,0,0,0,9
"246",0,0,0,0,0,0,1,0,0,0,7
"247",0,0,0,0,0,0,0,0,0,0,7
"248",0,0,0,0,0,0,3,0,0,0,0
"249",0,0,0,0,0,0,0,0,4,0,3
"250",0,0,0,0,0,0,0,3,0,0,2
"251",0,0,0,0,0,0,0,1,4,0,3
"252",0,0,0,0,0,0,0,2,0,0,2
"253",0,0,0,0,0,0,0,3,0,0,2
"254",0,0,0,0,0,0,0,0,2,0,0
"255",0,0,0,0,0,0,0,0,6,0,0
"256",0,0,0,0,0,0,0,0,0,0,6
"257",0,0,0,0,0,0,0,0,1,0,1
"258",0,0,0,0,0,0,0,0,2,0,0
"259",0,0,0,0,0,0,0,0,0,0,11
"260",0,0,0,0,2,0,0,0,0,0,0
"261",0,0,0,0,0,0,0,2,0,0,1
"262",0,0,0,0,0,0,0,0,0,0,15
"263",0,0,0,0,0,0,0,0,3,0,0
"264",0,1,0,0,0,0,0,0,0,0,1
"265",0,0,0,0,0,0,0,1,0,0,1
"266",0,0,0,0,0,0,0,0,0,0,2
"267",0,0,0,0,0,0,0,0,0,0,18
"268",0,0,0,0,0,0,0,0,0,0,10
"269",6,0,0,0,0,0,0,0,0,0,1
"270",0,0,0,0,0,0,0,4,0,0,6
"271",2,0,0,0,0,0,0,0,0,0,0
"272",7,0,1,0,0,7,0,0,0,0,6
"273",0,0,0,0,0,0,0,0,0,0,8
"274",0,0,0,0,0,0,0,3,0,0,3
"275",0,0,0,0,0,0,0,0,0,0,3
"276",0,0,0,0,0,0,0,0,0,0,2
"277",0,0,0,0,0,0,0,0,1,0,4
"278",0,0,0,0,0,0,0,10,0,0,11
"279",0,0,0,0,0,0,0,0,0,0,7
"280",0,0,0,0,0,0,0,0,0,0,3
"281",0,0,0,0,0,0,0,2,0,0,0
"282",8,0,0,0,0,0,0,0,0,0,0
"283",0,0,0,0,0,0,0,2,0,0,1
"284",6,0,0,0,0,0,0,0,1,0,9
"285",4,0,5,0,0,0,0,0,0,0,3
"286",0,0,0,0,0,0,0,0,30,0,0
"287",0,0,0,0,0,0,0,2,0,0,2
"288",0,0,0,0,0,0,0,0,0,0,3
"289",8,0,0,0,0,0,0,0,0,0,0
"290",0,0,0,0,0,0,0,0,0,0,2
"291",0,0,0,0,0,0,0,0,0,0,2
"292",6,0,0,0,0,0,0,0,0,0,1
"293",0,1,0,0,0,1,0,90,15,0,27
"294",1,0,0,0,0,0,0,0,0,0,9
"295",0,0,0,0,0,0,0,0,4,0,6
"296",0,0,0,0,0,0,0,0,1,0,1
"297",0,0,0,0,0,0,0,0,3,0,2
"298",0,0,0,0,0,0,0,0,0,0,4
"299",1,0,0,0,0,0,0,0,1,0,1
"300",0,0,0,0,0,0,0,3,0,0,2
"301",1,0,0,0,0,0,0,0,11,0,0
"302",0,0,0,0,0,0,0,5,31,0,2
"303",0,0,0,0,0,0,0,0,0,0,2
"304",0,0,0,0,0,0,0,0,0,0,4
"305",0,0,0,0,0,0,0,0,0,0,2
