"","Baso_lk","Ccr7DC_lk","Eos_lk","Erythroid_lk","Lymphoid_lk","Mast_lk","Meg_lk","Monocyte_lk","Neutrophil_lk","pDC_lk","Undifferentiated_lk","Baso_lsk","Ccr7DC_lsk","Eos_lsk","Erythroid_lsk","Lymphoid_lsk","Mast_lsk","Meg_lsk","Monocyte_lsk","Neutrophil_lsk","pDC_lsk","Undifferentiated_lsk"
"1049 _lk",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105 _lk",0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
"1050_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"1051_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1052 _lk",0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"1053 _lk",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1053_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1054_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
"1055_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"1056_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"1057_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"1058_lsk",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"1059_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"106 _lk",3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1060 _lk",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1061_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"1062_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,3
"1063 _lk",0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
