"","Baso","Ccr7_DC","Eos","Erythroid","Lymphoid","Mast","Meg","Monocyte","Neutrophil","pDC","Undifferentiated"
"190",0,0,0,0,0,0,0,0,11,0,6
"192",0,0,0,0,0,0,0,0,10,0,19
"195",0,0,0,0,0,0,0,2,0,0,0
"196",0,0,0,0,0,0,0,0,0,0,8
"197",0,0,0,0,0,0,0,1,0,0,1
"198",0,0,0,0,1,0,0,0,0,0,2
"199",0,0,0,0,0,0,0,4,0,0,3
"200",0,0,0,0,0,0,0,0,0,0,2
"201",0,0,0,0,0,0,0,0,0,0,14
"202",0,0,0,0,0,0,0,0,6,0,6
"203",0,0,0,0,0,0,0,0,0,0,5
"204",0,0,0,0,0,0,0,0,0,0,2
"205",1,0,0,0,0,0,0,0,0,0,2
"206",0,0,0,0,0,0,0,14,0,0,2
"207",0,0,0,0,0,0,0,0,0,0,2
"208",0,0,0,0,0,0,0,0,1,0,1
"209",0,0,0,0,0,0,0,0,0,0,3
"212",0,0,0,0,0,0,0,0,0,0,5
"213",0,0,0,0,0,0,0,0,12,0,5
"215",0,0,0,0,0,0,0,3,0,0,20
"216",0,0,0,0,0,0,0,2,0,0,2
"217",0,0,1,0,0,0,0,0,0,0,4
"219",0,0,0,0,0,0,0,0,0,0,3
"220",0,0,0,0,0,0,0,0,0,0,8
"224",0,0,0,0,0,0,0,0,0,0,3
"225",0,0,0,0,0,0,0,0,2,0,2
"226",0,0,0,0,0,0,0,0,1,0,1
"228",0,0,0,0,0,0,0,0,0,0,13
"232",0,0,0,0,1,0,0,0,0,0,1
"233",0,0,0,0,0,0,0,2,0,0,2
"235",0,0,0,0,0,0,0,2,0,0,0
"236",0,0,0,0,0,0,0,2,0,0,6
"237",0,0,0,0,0,0,0,0,0,0,6
"238",0,0,0,0,0,0,0,4,0,0,3
"240",0,0,0,0,0,0,0,2,0,0,2
"242",0,0,0,0,0,0,0,0,0,0,4
"243",0,0,0,0,0,0,0,5,0,0,2
"244",0,0,0,0,0,0,0,0,0,0,2
"245",0,0,0,0,0,2,0,0,0,0,9
"247",0,0,0,0,0,0,0,0,0,0,7
"249",0,0,0,0,0,0,0,0,4,0,3
"250",0,0,0,0,0,0,0,3,0,0,2
"251",0,0,0,0,0,0,0,1,4,0,3
"252",0,0,0,0,0,0,0,2,0,0,2
"256",0,0,0,0,0,0,0,0,0,0,6
"259",0,0,0,0,0,0,0,0,0,0,11
"260",0,0,0,0,2,0,0,0,0,0,0
"262",0,0,0,0,0,0,0,0,0,0,15
"263",0,0,0,0,0,0,0,0,3,0,0
"264",0,1,0,0,0,0,0,0,0,0,1
"266",0,0,0,0,0,0,0,0,0,0,2
"267",0,0,0,0,0,0,0,0,0,0,18
"268",0,0,0,0,0,0,0,0,0,0,10
"269",6,0,0,0,0,0,0,0,0,0,1
"270",0,0,0,0,0,0,0,4,0,0,6
"273",0,0,0,0,0,0,0,0,0,0,8
"276",0,0,0,0,0,0,0,0,0,0,2
"277",0,0,0,0,0,0,0,0,1,0,4
"278",0,0,0,0,0,0,0,10,0,0,11
"279",0,0,0,0,0,0,0,0,0,0,7
"280",0,0,0,0,0,0,0,0,0,0,3
"287",0,0,0,0,0,0,0,2,0,0,2
"288",0,0,0,0,0,0,0,0,0,0,3
"290",0,0,0,0,0,0,0,0,0,0,2
"291",0,0,0,0,0,0,0,0,0,0,2
"292",6,0,0,0,0,0,0,0,0,0,1
"294",1,0,0,0,0,0,0,0,0,0,9
"295",0,0,0,0,0,0,0,0,4,0,6
"296",0,0,0,0,0,0,0,0,1,0,1
"297",0,0,0,0,0,0,0,0,3,0,2
"298",0,0,0,0,0,0,0,0,0,0,4
"303",0,0,0,0,0,0,0,0,0,0,2
"304",0,0,0,0,0,0,0,0,0,0,4
"305",0,0,0,0,0,0,0,0,0,0,2
"306",0,0,0,0,0,0,0,0,0,0,2
"307",0,0,0,0,0,0,0,5,1,0,6
"308",0,0,0,0,0,0,0,0,0,0,10
"310",0,0,0,0,0,0,0,0,0,0,2
"311",0,0,0,0,0,0,0,0,0,0,2
"313",0,0,0,0,0,0,0,0,2,0,2
"314",0,0,0,0,0,0,0,0,0,0,2
"315",0,0,0,0,0,0,0,0,0,0,2
"316",0,0,0,0,0,0,0,2,0,0,0
"318",0,0,0,0,0,0,0,2,1,0,1
"320",0,0,0,0,0,0,0,0,0,0,3
"321",0,0,0,0,0,0,0,15,0,0,5
"323",0,0,0,0,0,0,0,0,2,0,0
"325",0,0,0,0,0,0,0,0,1,0,1
"328",4,0,0,0,0,0,0,0,1,0,4
"330",0,0,0,0,0,0,0,0,0,0,8
"331",0,0,0,0,0,0,0,0,0,0,2
"332",0,0,0,0,0,0,0,4,0,0,3
"335",0,0,0,0,0,0,0,0,4,0,2
"338",0,0,0,0,0,0,0,0,0,0,2
"340",9,0,0,0,0,0,0,0,0,0,1
"342",0,0,0,0,0,0,0,0,0,0,8
"343",0,0,0,0,1,0,0,0,0,0,2
"345",0,0,0,0,0,0,0,0,0,0,2
"346",0,0,0,0,0,0,0,1,0,0,2
"348",0,0,0,0,0,0,0,0,0,0,2
"349",0,0,0,0,0,0,0,0,0,0,10
"356",0,0,0,0,0,0,0,0,0,0,2
"358",0,0,0,0,0,0,0,0,0,0,3
"360",5,0,0,0,0,0,0,0,0,0,1
"361",0,0,0,0,0,0,0,0,0,0,2
"362",1,0,0,0,0,0,0,0,0,0,6
"363",0,0,0,0,0,0,0,2,0,0,2
"365",0,0,0,0,0,0,0,0,5,0,1
"366",0,0,0,0,0,0,0,0,0,0,2
"367",0,0,0,0,0,0,0,5,0,0,6
"368",0,0,0,0,0,0,0,0,0,0,2
"370",0,0,0,0,1,0,0,0,0,0,1
"371",0,0,0,0,0,0,0,4,0,0,1
"373",0,0,0,0,0,0,0,9,0,0,3
"374",0,0,0,0,0,0,0,0,1,0,3
"376",0,0,0,0,0,0,0,8,0,0,8
"377",0,0,0,0,0,0,0,0,0,0,2
"379",4,0,0,0,0,0,0,0,0,0,4
"380",0,0,0,0,1,0,0,0,0,0,1
"381",0,0,0,0,0,0,0,0,0,0,4
"382",0,0,0,0,0,0,0,0,0,0,2
"383",0,0,0,0,0,0,0,0,0,0,5
"384",0,0,0,0,0,0,0,0,0,0,13
"385",9,0,0,0,0,0,0,0,0,0,2
"386",0,0,0,0,0,0,0,7,0,0,2
"387",0,0,0,0,0,0,0,5,0,0,0
"388",0,0,0,0,0,0,0,0,0,0,3
"389",0,0,0,0,0,0,0,0,0,0,2
"390",0,0,0,0,0,0,0,0,0,0,10
"394",0,0,0,0,0,0,0,0,0,0,3
"396",0,0,0,0,0,4,0,0,0,0,2
"397",0,0,0,0,0,0,0,0,3,0,5
"398",0,0,0,0,0,0,0,0,0,0,2
"400",0,0,0,0,0,0,0,0,2,0,11
"401",0,0,0,0,1,0,0,0,0,0,1
"402",0,0,0,0,0,0,0,0,0,0,24
"405",0,0,0,0,0,0,0,0,0,0,2
"407",0,0,0,0,0,0,0,0,0,0,2
"410",0,0,0,0,0,0,0,0,1,0,2
"412",0,0,0,0,0,0,0,0,0,0,2
"414",0,0,0,0,0,0,0,0,0,0,3
"415",0,0,0,0,0,0,0,0,0,0,2
"417",0,0,0,0,0,0,0,4,0,0,3
"419",0,0,0,0,0,0,0,0,0,0,2
"420",0,0,0,0,0,0,0,0,0,0,2
"422",0,0,0,0,0,0,0,2,0,0,0
"423",0,0,0,0,0,0,0,0,0,0,8
"424",0,0,0,0,3,0,0,0,0,0,1
"425",0,0,0,0,0,0,0,0,1,0,1
"429",0,0,0,0,0,0,0,0,0,0,6
"430",0,0,0,0,0,0,0,0,0,0,19
"431",0,0,0,0,0,0,0,0,0,0,5
"433",0,0,0,0,0,0,0,0,0,0,2
"434",0,0,0,0,0,0,0,0,1,0,6
"436",0,0,0,0,0,0,0,0,14,0,8
"437",0,0,0,0,0,0,0,0,0,0,3
"439",0,0,0,0,0,0,0,0,0,0,3
"440",0,0,0,0,0,0,0,3,0,0,0
"441",0,0,0,0,0,0,0,3,0,0,2
"442",0,0,0,0,0,0,0,0,0,0,2
"443",0,0,0,0,0,0,0,2,0,0,1
"444",1,0,0,0,0,1,0,0,0,0,0
"445",0,0,0,0,0,0,0,0,0,0,3
"446",0,0,0,0,0,0,0,0,0,0,4
"447",0,0,0,0,0,0,0,0,1,0,2
"448",0,0,0,0,0,0,0,0,0,0,2
"449",4,0,0,1,0,0,0,0,0,0,6
"450",0,0,0,0,0,0,0,19,0,0,11
"452",0,0,0,0,0,0,0,0,0,0,8
"453",0,0,0,0,0,0,0,0,3,0,3
"456",0,0,0,0,0,0,0,0,0,0,4
"458",0,0,0,0,0,0,0,0,0,0,2
"459",0,0,0,0,1,0,0,0,0,0,2
"461",0,0,0,0,0,0,0,1,0,0,1
"463",0,0,0,0,0,1,0,0,0,0,1
"464",0,0,0,0,0,0,0,2,0,0,0
"467",0,0,0,0,0,0,0,0,0,0,5
"470",0,0,0,0,0,0,0,0,6,0,8
"471",0,0,0,0,0,0,0,0,0,0,7
"472",0,0,0,0,0,0,0,0,2,0,5
"475",0,0,0,0,0,0,0,5,0,0,0
"478",3,0,0,0,0,0,0,0,2,0,2
"479",0,0,0,0,0,0,0,0,0,0,22
"480",0,0,0,0,0,0,0,0,0,0,3
"481",0,0,0,0,0,0,0,0,0,0,3
"486",0,0,0,0,0,0,0,0,0,0,3
"487",0,0,0,0,0,0,0,0,0,0,2
"488",0,0,0,0,0,0,0,0,0,0,2
"489",0,0,0,0,0,0,0,0,0,0,4
"491",0,0,0,0,0,0,0,0,0,0,9
"494",0,0,0,0,0,0,0,0,0,0,3
"495",0,0,0,0,2,0,0,2,0,0,0
"497",0,0,0,0,0,0,0,0,0,0,2
"499",0,0,0,0,0,0,2,0,0,0,4
"501",0,0,0,0,0,0,0,0,0,0,3
"502",0,0,0,0,0,0,0,0,1,0,3
"505",0,0,0,0,0,0,0,0,0,0,2
"507",0,0,0,0,0,0,0,0,5,0,5
"509",0,0,0,0,0,0,0,1,3,0,2
"514",0,0,0,0,0,0,0,3,0,1,1
"515",0,0,0,0,0,0,0,3,0,0,4
"516",0,0,0,0,0,0,0,0,0,0,2
"518",0,0,0,0,1,0,0,0,0,0,1
"520",0,0,0,0,0,0,0,0,0,0,7
"521",0,0,0,0,0,0,0,0,0,0,4
"522",0,0,0,0,0,0,0,17,0,0,10
"526",0,0,0,0,0,0,0,0,0,0,2
